Station,Section,Url,Page Range,Text Identifier,Status
18,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,256-257,Station 18,exists
19,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,257,Station 19,exists
20,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,257-258,Station 20,exists
21,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,258,Station 21,exists
22,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,258-259,Station 22,exists
23,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,260-271,Stations 23 to 23B,exists
23A,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,260-271,Stations 23 to 23B,exists
23B,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,260-271,Stations 23 to 23B,exists
24,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,271-286,Station 24,exists
24A,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,286,Station 24A,missing
25,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,286-287,Station 25,exists
26,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,287,Station 26,exists
27,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,288,Station 27,exists
28,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,288-289,Station 28,exists
29,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,289-290,Station 29,exists
30,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,290-293,Station 30,exists
31,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,293,Stations 31 to 32A,exists
32,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,293,Stations 31 to 32A,exists
32A,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,293,Stations 31 to 32A,exists
32B,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,293-294,Station 32B,exists
