station,hathitrust_section,hathitrust_url,hathitrust_page_range,text_identifier
22,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,258-259,Station 22
23,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,260-271,Stations 23 to 23B
23A,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,260-271,Stations 23 to 23B
23B,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,260-271,Stations 23 to 23B
24,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,271-286,Station 24
24A,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,,
25,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,286-287,Station 25
26,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,287,Station 26
27,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,288,Station 27
28,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,288-289,Station 28
29,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,289-290,Station 29
30,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,290-293,Station 30
31,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,293,Stations 31 to 32A
32,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,293,Stations 31 to 32A
32A,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,293,Stations 31 to 32A
32B,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,293-294,Station 32B
32C,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,295,Stations 32C to 32G
32D,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,295,Stations 32C to 32G
32E,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,295,Stations 32C to 32G
32F,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,295,Stations 32C to 32G
32G,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,295,Stations 32C to 32G
33,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,295-304,Station 33
33A,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,304,Stations 33A to 34
33B,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,304,Stations 33A to 34
34,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,304,Stations 33A to 34
35A,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,304-305,Stations 35A to 35C
35B,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,304-305,Stations 35A to 35C
35C,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,304-305,Stations 35A to 35C
36,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,306-308,Station 36
37,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,308-309,Station 37
38,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,309-310,Station 38
39,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,310,Station 39
40,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,310-311,Station 40
41,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,311-312,Station 41
42,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,312-313,Station 42
43,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,313-314,Station 43
44,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,314-317,Station 44
45,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,317-321,Station 45
46,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,321-323,Station 46
47,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,323-325,Station 47
48,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,325-330,Station 48
49,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,330-335,Station 49
50,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,335-337,Station 50
51,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,337-338,Station 51
52,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,338-339,Station 52
52A,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,339,Station 52A
53,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,339-340,Station 53
54,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,340-341,Station 54
55,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,342,Stations 55 and 55A
55A,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,342,Stations 55 and 55A
55B,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,343-345,Stations 55B and 56
56,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,343-345,Stations 55B and 56
56A,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,-,
57,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,345-355,Stations 57 to 57B
57A,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,345-355,Stations 57 to 57B
57B,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,345-355,Stations 57 to 57B
58,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,355,Station 58
59,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,355-358,Station 59
60,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,358-359,Station 60
61,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,359-360,Station 61
62,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,360-361,Station 62
63,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,361-363,Station 63
64,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,363-365,Station 64
65,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,365-366,Station 65
66,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,366,Station 66
67,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,366-367,Station 67
68,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,367-368,Station 68
69,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,368-369,Station 69
70,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,369-373,Station 70
71,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,373-374,Station 71
72,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,374-375,Station 72
73,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,375-379,Station 73
74,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,379,Station 74
75,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,380-389,Station 75
